Name,EVS ID,Histology,Do not code,Remarks,Alternate Name,Primary Site,Abbreviation,NSC number,Category,Sub-category
ABX-IL-8,,,YES,"As of March 2015, this drug has not received FDA approval for use in the treatment of cancer. It is in various clinical trials for inflammatory diseases. 

Human monoclonal antibody blocks IL-8",,Skin cancer,,,Chemotherapy,Cytostatic agent--monoclonal antibody
ABX-MAI,,,NO,Phase I Monoclonal antibody. Abgenix.,,Skin cancer,,,"Biologic therapy (BRM, immunotherapy)",Passive monoclonal antibody
ADA Transduced T-cell,,,NO,,,,,635386,"Biologic therapy (BRM, immunotherapy)",
ADXS-HPV,,,NO,"The FDA granted Orphan Drug designation to ADXS-HPV for treatment of stage II-IV invasive cervical cancer. Orphan drug designation is granted to drug therapies intended to treat diseases or conditions that affect fewer than 200,000 people in the US. This drug is currently in several clinical trials showing promising results.  Code this drug as Other until final FDA approval is granted.",,Cervix,,,"Biologic therapy (BRM, immunotherapy)",
AEE 788,,,NO,"March 2015: several studies/clinical trials using this drug have been discontinued due to unacceptable toxicity. 

Phase I TKI that blocks EGFR, erbB-2, and alsoVEGFR-1 and VEGFR-2..",AEE-788;AEE788,Other cancer,,,"Biologic therapy (BRM, immunotherapy)",Tyrosine kinase inhibitor
AFP-Scan,,,YES,Phase II Diagnostic. Radiolabeled monoclonal antibody(conjugated mab) Immunomedics.,,Liver cancer,,,Ancillary Agent,Diagnostic only
AFP464,,,NO,Phase I advanced solid tumors 2007 Aminoflavone prodrug.  Tigris Pharmaceuticals,AFP 464;AFP-464,Solid tumors,,710464,Chemotherapy,Cytotoxic-cytostatic agent
AG-2037,,,NO,"Phase I breast, lung Phase II other Glycinamide ribonucleotide formyl transferase inhibitor. Pfizer, Agouron Pharmaceuticals.",AG2037,Breast;colon;lung;other cancer,,,Chemotherapy,Inhibitor--glycinamide ribonucleotide formyl transferase
AG3340,,,NO,Phase III Selective matrix metalloproteinase inhibitor. Agouron Pharmaceuticals.,AG-3340,Prostate cancer,,700909,"Biologic therapy (BRM, immunotherapy)",Inhibitor--matrix metalloproteinase
AL-721,,,YES,"A lipid compound composed of neutral lipids, phosphatidylcholine and phosphatidylethanolamine in a ratio of 7/2/1, respectively. Inhibits binding of HIV to target cells.",AL721,,,615295,AIDS drug,
ALVAC-B7.1 Vaccine with StemSep,,,NO,"Phase I ovarian, melanoma Vaccine. NCI.",,Ovarian;skin cancer,,,"Biologic therapy (BRM, immunotherapy)",Adoptive immunotherapy
ALVAC-CEA Vaccine,,,NO,Phase I Aventis Pasteur.,,Colon cancer,,,"Biologic therapy (BRM, immunotherapy)",Adoptive immunotherapy
ALVAC-IL-12,,,NO,"Phase I melanoma Vaccine. NCI, Aventis Pasteur.",,Skin cancer,,689514,"Biologic therapy (BRM, immunotherapy)",Adoptive immunotherapy
AMD-3100,,,YES,Phase I May help G-CSF work better by making peripheral stem cells.  Chemokine co-receptor entry inhibition. AnorMed.,AMD 3100;AMD3100,Leukemia;lymphoma;multiple myeloma,,,Ancillary Agent,
AMD-473,,,NO,Phase II Platinum derivative. AnorMED.,AMD 473;AMD473,Breast;lung;ovarian;pancreatic;prostate cancer,,,Chemotherapy,Miscellaneous agent
AMG 386,,,NO,"Phase I New drug currently in trials, code as Other Therapy as it is not FDA approved",AMG 386,Breast;GYN,,,Chemotherapy,Angiopoietin inhibitor
AMG 531,,,YES,Stimulates platelet (thrombocyte) recovery.  Amgen.,AMG-531;AMG531;Nplate;Romiplostim,,,,Ancillary Agent,
AMG-479,,,NO,"I, II New drug currently in trials, code in other therapy",,Carcinoids;NSCLC;pancreas;solid tumors,,,"Biologic therapy (BRM, immunotherapy)",Monoclonal antibody inhibitor of IGF-IR
AN-152/AN-238/AN-215,,,NO,Pre-clinical Cytotoxic conjugates. AEterna Laboratories.,AN152/AN238/AN215,Other cancer,,,Chemotherapy,Cytostatic agent--antiangiogenic agent
AP-23573,,,NO,Phase I Degradation of PKB/Akt protein by inhibition of the VEGF receptor/mTOR pathway in endothelial cells. Ariad Pharmaceuticals.,AP 23573;AP23573,Lymphoma;other cancer,,,Chemotherapy,Cytostatic agent--antiangiogenic agent
APC 8024 Therapeutic Vaccine,,,NO,Phase I Colon cancer vaccine against HER2/neu expression. Dendreon.,APC-8024;APC8024,Breast;colorectal;ovarian cancer,,,"Biologic therapy (BRM, immunotherapy)",
AR54,,,NO,Phase II Monoclonal antibody. AltaRx.,,Ovarian cancer,,,"Biologic therapy (BRM, immunotherapy)",Immunotherapy passive
AS-101,,,YES,,AS 101;AS101,,,,AIDS drug,
AT-101,,,NO,Phase II SCLC 2007 Pan-Bcl-2 inhibitor; induces apoptosis.  Ascenta Therapeutics.,AT 101;AT101,Small cell lung cancer,,,Chemotherapy,Cytostatic agent--apoptosis inducer
ATG J591RC,,,NO,Phase II Monoclonal antibody. Cell Therapeutics.,Anti-PSMA;ATG-J591:RC;ATGJ591:DM1;BiJ-591;huJ591;J591;MLN-2704;MLN-5591DM1;MLN-5591RL;MLN-591RL,Prostate cancer,MLN-591,,"Biologic therapy (BRM, immunotherapy)",Monoclonal antibody
ATN-161,,,NO,Phase II glioma 2007 Attenuon.,ATN 161;ATN161,Glioma,,,Chemotherapy,Cytostatic agent--antiangiogenic agent
ATRA-IV,,,NO,"Atra is currently in clinical trials for Head & Necks cancers. It is under investigation as treatment of Kaposi Sarcoma. DO NOT CODE ATRA has treatment for these sites/histologies until FDA approval. Code as either 2, 3, or 6 in Other Therapy field.

ATRA has received FDA approval for treatment of Acute Promyelocytic Leukemia (APL). ATRA should be coded ""1"" in Other Therapy field.

Liposomal all-trans retinoic acid. Antigenics, Inc.",Vesanoid,Lymphoma;Acute promyelocytic leukemia,,,Differentiation inducing agent,Retinoid: please see Remarks for coding instructions
AZD 3409,,,NO,Phase II Farnesyl transferase inhibitor. AstraZeneca.,,Other cancer,,,Chemotherapy,Cytostatic agent--inhibitor;farnesyl transferase
AZD2281,,,NO,"Phase I melanoma 2007 Small molecule inhibitor of Poly-ADP Ribose Polymerase or PARP.  Astra Zeneca, KuDOS Pharmaceuticals.",AZD 2281;AZD-2281;KU-0059436;KU-59436,Melanoma,,,Chemotherapy,Cytostatic agent--apoptosis inducer
AZD6244,,,NO,"Phase I&II New drug currently in trials, code as Other Therapy as it is not FDA approved",AZD6244,Multiple sites,,,Chemotherapy,Protein inhibitor
Abarelix,,,NO,Phase II GnRH antagonist. Praecis Pharmaceuticals.,Abarelix-Depot-F;Abarelix-Depot-M;Abarelix-L;Plenaxis;PPI 149;PPI-149;PPI149;R 3827,breast;Prostate,,,Hormones and hormonal mechanisms,Estrogen production antagonist
Abecma,,Multiple myeloma,NO,"March 26, 2021: FDA approved idecabtagene vicleucel (Abecma) for the treatment of adult patients with relapsed or refractory multiple myeloma after four or more prior lines of therapy, including an immunomodulatory agent, a proteasome inhibitor, and an anti-CD38 monoclonal antibody. This is the first FDA-approved cell-based gene therapy for multiple myeloma.",Idecabtagene vicleucel;Anti-BCMA CAR T Cells BB2121,,,,"Biologic therapy (BRM, immunotherapy)",CAR-T
Abemaciclib,,,NO,"Prior to 9/28/2017: The FDA has granted the CDK4/6 inhibitor abemaciclib (LY2835219) a breakthrough therapy designation as monotherapy for heavily pretreated patients with refractory hormone-receptor (HR)-positive advanced breast cancer, based on data from a phase I study. 
Coding instructions: The drug is currently in clinical trials and has not yet received FDA approval.  Code as Other Treatment and assign code 2. 

September 28, 2017: FDA approved Verzenio (abemaciclib) to treat adult patients who have hormone receptor-positive, human epidermal growth factor receptor 2-negative advanced or metastatic breast cancer that has progressed after taking therapy that alters a patient’s hormones.

March 6, 2018 FDA has approved Verzenio (abemaciclib) in combination with an aromatase inhibitor as initial endocrine-based therapy for the treatment of postmenopausal women with hormone receptor-positive, human epidermal growth factor receptor 2-negative advanced or metastatic breast cancer.

October 12, 2021 The FDA abemaciclib (Verzenio) with endocrine therapy (tamoxifen or an aromatase inhibitor) for adjuvant treatment of adult patients with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative, node-positive, early breast cancer at high risk of recurrence and a Ki-67 score ≥20%, as determined by an FDA approved test. This is the first CDK 4/6 inhibitor approved for adjuvant treatment of breast cancer.",LY2835219;Verzenio,Breast,,,Chemotherapy,Cyclin-dependent kinase inhibitor
Abiraterone acetate,,,NO,"April 28, 2011: Zytiga received FDA approval for use in combination with prednisone for the treatment of patients with metastatic castration-resistant prostate cancer.",CB 7630;CB-7630;CB7630;Zytiga;Yonsa,Prostate,AA,,Hormones and hormonal mechanisms,Antiandrogenic
Abraxane,,,NO,"FDA approved to treat breast cancer and non-small cell lung cancer

September 6, 2013 FDA approval to use abraxane in combination with gemcitabine for the first-line treatment of patients with metastatic adenocarcinoma of the pancreas.",ABI 007;ABI-007;ABI007;Paclitaxel (Albumin-Stabilized Nanoparticle Formulation);nab-Paclitaxel;nanoparticle paclitaxel;protein-bound paclitaxel,Metastatic breast cancer;NSCLC;Non small cell lung cancer;cervix;melanoma;pancreas,,900002,Chemotherapy,Taxane
Acalabrutinib,,Mantle cell lymphoma,NO,"October 31, 2017: FDA has granted accelerated approval to Calquence (Acalabrutinib, previously known as ACP-196), a kinase inhibitor, for the treatment of adult patients with mantle cell lymphoma who have received at least one prior therapy.
November 21, 2019 FDA approved acalabrutinib (CALQUENCE) for adults with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL).",Calquence,,,,Chemotherapy,kinase inhibitor
Acapodene,,,NO,"Phase II Chemoprevention, gene therapy. FDA approved use on advanced breast cancer. Genotherapeutics. Promotes retargeted cytotoxicity against HER2/neu-positive cell lines.",FC-1157a;Toremifene,Prostate cancer,,,"Biologic therapy (BRM, immunotherapy)",Gene therapy
Accutane,,,YES,Phase II/III A synthetic analogue of vitamin A. Rx of molluscum contagiosum virus. NCI.,13 cis retinoic acid;13-cis-retinoic acid;13-cis-retinoid acid;13-cis-Vitamin A acid;Accutane;Isotretinoin*;Neovitamin A acid;RO-4-3780,Prostate cancer,Vit A,329481,Differentiation inducing agent,
Acetaminophen,,,YES,Analgesic and antipyretic.,222-AF;A.F;Abenol;Acephen;Aceta;Anacin;Apo-Acetaminophen;Atasol;Contac;Dolanex;Exdol;Feverall;Fevernol;Genapap;Genebs;Halenol;Korum;Liquiprin;Meda;Nebs;Neopap;Nilprin;Panadol;Panex;Paracetamol;Paralgin;PediApap;Pediatrix;Phenaphen;Robigesic;Rounox;Snaplets-FR;St. Joseph Aspirin-Free;Stanback;Suppap;Tantaphen;Tapar;Tempra;Tylenol;Uni-Ace;Valorin,,,,Ancillary Agent,Ancillary
Acetazolamide,,,YES,"Carbonic anhydrase inhibitor, in the treatment of glaucoma; diuretic, adjunctive therapy in seizures.",,,ACZ,,Ancillary Agent,Ancillary
Acetylcysteine,,,YES,For prevention against liver damage in severe acetaminophen intoxication; useful in decreasing the number of exacerbations in patients with chronic bronchitis; protection against cytotoxic agents such as ifosfamide and cyclophosphamide.,,AIDS;Opportunistic infection,,111180,Ancillary Agent,Ancillary
Acitretin,,,YES,A metabolite of etretinate for treatment of psoriasis.,Etretin;Ro 10-1670;Soriatane,,,,Differentiation inducing agent,
Acivicin,,,NO,"Glutamine antagonist causing irreversible inhibitor of gamma-GT, a specific inhibitor of g-glutamyl transpeptidase and transmembrane glutathione transport. Potent antitumor and antileishmania agent. Induces apoptosis in human lymphoblastoid cells. Inhibitor of carbamoyl phosphate synthetase.",126;Antibiotic AT-125;U-42,,AT-125,163501,Chemotherapy,Antitumor antibiotic
Aclarubicin,,,NO,,Aclacinomycin;Aclacinomycin- A#;Aclacinon;Aclaplastin;Aclarubein;Antibiotic MA 144-A1,Leukemia;solid tumors,ACM;ACM-A;ACR,208734,Chemotherapy,Cytostatic agent--topoisomerase inhibitor
Acodazole,,,NO,,055435-65-9;055435659;55435-65-9;Acetamide;EU-3120,,AD-32,305884,Chemotherapy,Akylating agent
Acronine,,,NO,,Acronycin#;Acronycine;Compound 42339,,,403169,Chemotherapy,Plant alkyloid
Acyclovir,,,YES,Antiviral agent.,Acycloguanosine;Avirax;BW-248U;BW248U;Zovirax,,,335752,Ancillary Agent,
Acyclovir Sodium,,,YES,Prescribed for HSV and VZV infections; anti-viral,,,,,AIDS drug,
Ad5CMV-p53 (adenovirus p53),,,NO,Phase III Nucleoside analog gene therapy. Matrix Pharmaceuticals.,,Glioma;Head & neck;lung cancer,,,"Biologic therapy (BRM, immunotherapy)",p53 tumor suppressor gene
Adefovir,,,YES,"Adefovir is an antiviral agent (acyclic nucleotide), formerly an investigational drug, has been withdrawn from the investigational program. The manufacturer, Gilead, is not pursuing FDA-approval. Oral adefovir dipivoxil has shown efficacy in chronic hepatitis B infection and HIV infection in limited studies. Adefovir may also prove useful for preventing or treating opportunistic herpes virus infections in HIV-infected patients.",,,,,AIDS drug,
Adenazole,,,NO,Phase II Nucleoside analog. ICN Pharmaceuticals.,,Colorectal cancer,,,Chemotherapy,Nucleoside analog
Adeno-Interleukin-2,,,NO,Phase I Adenoviral vector. Transgene.,,other cancer;Skin,,,"Biologic therapy (BRM, immunotherapy)",
Adicillin,,,YES,Antibiotic,,,,,Ancillary Agent,
Ado-trastuzumab emtansine,,,NO,"May 3, 2019: FDA approved ado-trastuzumab emtansine (KADCYLA) for the adjuvant treatment of patients with HER2-positive early breast cancer (EBC) who have residual invasive disease after neoadjuvant taxane and trastuzumab-based treatment. 

February 22, 2013: Kadcyla received FDA approval for the treatment of metastatic HER-2 positive breast cancer in patients that had previously been treated with trastuzumab and a taxane, either separately or in combination.",KADCYLA;T-DM 1;TDM 1;Trastuzumab-MCC-DM1 antibody conjugate;Trastuzumab-MCC-DM1 Immunoconjugate,Metastatic HER-2 breast cancer,,,"Biologic therapy (BRM, immunotherapy)",Antibody-drug conjugate
Adozelesin,,,NO,,,,,,Chemotherapy,Miscellaneous alkylating agent
Adrenocorticotropic hormone,,,NO,"Chief function is to stimulate the cortex of the adrenal gland to secrete adrenocortical steroids, chief among them cortisone-the stress hormone.",,,ACTH,25933,Hormones and hormonal mechanisms,Glucocorticoid.  Probably not cancer directed--verify with attending MD.
Advexin,,,NO,"Phase I (bladder, brain, ovarian, prostate)  phase II (breast, lung) phase III (head & neck) Gene therapy. Introgen Therapeutics, NCI.",Contusugene ladenovec,Bladder;brain;breast;head & neck;liver;lung;ovarian;prostate cancer,,683550,"Biologic therapy (BRM, immunotherapy)",p53 tumor suppressor gene
Affinitak,,,NO,"Phase III (lung) Phase II NHL, ovarian Antisense. Eli Lilly. ISIS Pharmaceuticals.",Affinitac;Affinitak;CGP64128A;ISI641A;ISIS-3521;LY900003,Lung;lymphoma;ovarian cancer,,719337,Chemotherapy,Targeted therapy
Afinitor,,,NO,"April 10, 2018: FDA approved everolimus tablets for oral suspension (Afinitor) for the adjunctive treatment of adult and pediatric patients aged 2 years and older with tuberous sclerosis complex (TSC)-associated partial-onset seizures. Everolimus is also approved for two other manifestations of TSC: TSC-associated subependymal giant cell astrocytoma (SEGA) and TSC-associated renal angiomyolipoma

March 2009/April 2010/May 2011:Everolimus has received FDA approval for treatment of advanced kidney cancer, subependymal giant cell astrocytoma (SEGA) associated with tuberous sclerosis (TS) in patients who are not suitable for surgical intervention. April 2010, progressive or metastatic pancreatic neuroendocrine tumors not surgically removable (May 2011). 

February 26, 2016: FDA approved everolimus for the treatment of adult patients with progressive, well-differentiated non-functional, neuroendocrine tumors (NET) of GI or lung origin with unresectable, locally advanced or metastatic disease.",Afinitor;Certican;Everolimus;RAD001,breast;Lung;other cancer,,733504,Chemotherapy,Cytostatic agent--antiangiogenesis agent and mTOR inhibitor
Aflibercept,,,NO,"Phase I NHL; Phase II 2007 for ovary, fallopian tube, primary peritoneal carcinoma VEGF blocker. Regeneron Pharmaceuticals.",AVE 0005;AVE-0005;AVE0005;VEGF Trap,fallopian tube;Lymphoma;ovary;primary peritoneal carcinoma,,724770,Chemotherapy,Cytostatic agent--VEGF inhibitor
Alanosine,,,NO,Phase II Antitumor antibiotic. Salmedix.,L-Alanosine;SDX 102;SDX-102;SDX102,Lung;pancreatic cancer;sarcoma,,153353,Chemotherapy,Antimetabolite
Albendazole,,,YES,A broad-spectrum oral anthelmintic agent. Antifungal agent; Rx of microsporidiosis,,,,,AIDS drug,
Albuleukin,,,NO,Phase I Interleukin-2. Human Genome Sciences,,Other cancer,,,"Biologic therapy (BRM, immunotherapy)",
Albuterol Sulfate,,,YES,"Bronchodilator for the treatment of asthma and reversible bronchospasm. It is also used to treat chronic bronchitis, pulmonary emphysema with reversible obstruction and prophylactically to prevent bronchospasm.",,,,,Ancillary Agent,
Alectinib,,Non-small cell lung cancer (NSCLC),NO,"UPDATE: December 11, 2015 FDA granted accelerated approval to alectinib for the treatment of anaplastic lymphoma kinase (ALK)  positive metastatic non-small cell lung cancer (NSCLC) who have progressed or are intolerant to crizotinib (Xalkori).

November 6, 2017: FDA granted regular approval to alectinib  for treatment of patients with anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer (NSCLC), as detected by an FDA-approved test.",Alecensa;ALK inhibitor CH5424802,Lung,,,Chemotherapy,ALK Inhibitor
Alemtuzumab,,,NO,"JANUARY 2013 IMPORTANT UPDATE: This drug has changed categories. A comprehensive review has been completed and in keeping with the FDA, this drug is to be coded as a Biologic therapy/Immunotherapy agent. Effective with diagnosis date January 1, 2013 forward, code alemtuzumab as BRM/Immunotherapy.For cases diagnosed prior to January 1, 2013 continue coding this drug as chemotherapy.  

FDA approved use on chronic lymphocytic leukemia.",Campath,Leukemia;lymphoma,,715969,"Biologic therapy (BRM, immunotherapy)",Targeted therapy
Alendronate Sodium,,,YES,"Bone modulating drug; inhibits osteoclast-mediated bone resorption; suppressant; Alendronate is a potent aminobisphosphonate that is effective for prevention and treatment of postmenopausal osteoporosis and for treatment of glucocorticoid-induced osteoporosis. Alendronate is also effective for treating Paget's disease of bone [Prod Info Fosamax, 1999]",,,,,Ancillary Agent,Bisphosphonate
Algestone Acetophenide,,,NO,,SQ 15101;SQ15101,,SQ-15101,67831,Hormones and hormonal mechanisms,Progestin.  Probably not cancer directed--verify with attending MD.
Alitretinoin,,,YES,"Phase II (breast, sarcoma, skin) Phase III  APL A natural retinoid with actions similar to all-trans-retinoic acid (tretinoin). FDA approved use for Kaposi's sarcoma. Ligand Pharamceuticals, Vical, NCI.",,Breast;Kaposi sarcoma;leukemia;sarcoma;skin cancer,9cRA,659772,Differentiation inducing agent,
Allogeneic cells,,,NO,Bone marrow therapy. Killed tumor cells,,,,,"Biologic therapy (BRM, immunotherapy)",
Allogenic colon cancer vaccine,,,NO,Phase I Colon cancer vaccine. Immune Response Corp.,,Colorectal cancer,,,"Biologic therapy (BRM, immunotherapy)",Adoptive immunotherapy
Allogenic glioma cancer vaccine,,,NO,Phase I Vaccine. Immune Response Corp.,,Brain cancer,,,"Biologic therapy (BRM, immunotherapy)",Adoptive immunotherapy
Allopurinol,,,YES,"A xanthine oxidase inhibitor indicated in the treatment of hyperuricemia, which is often observed in leukemia, lymphoma, polycythemia vera, myeloid metaplasia, and malignancies in patients receiving cancer chemo.",1 Zyloprim;Alloprin;Allopur;Apo-Allopurinol;Atisuril;Bloxanth;BW-56-158;Epidropal;Foligan;Gotax;HPP;Lopurin;Milurit;Novo-Purol;Purinol;Riva-Purinol;Uricemil;Uriprim;Urosin;Zurinol;Zyloprim;Zyloric,,ALLO;HPP,001390;1390,Ancillary Agent,
Allosteric ErbB Inhibitor BDTX-189,,,NO,July 2020: BDTX-189 has received Fast Track Designation from FDA for the treatment of adult patients with solid tumors harboring an allosteric human epidermal growth factor receptor 2 mutation or an epidermal growth factor receptor or HER2 Exon 20 insertion mutation who have progressed following prior treatment and who have no satisfactory treatment options.,EGFR/HER2 inhibitor BDTX-189;ErbB mutant-specific inhibitor BDTX-189,,BDTX-189,,Chemotherapy,EGFR/HER2 Inhibitor
Allovectin-7,,,NO,"Phase II, Phase III metastatic melanoma Increases the ability of the immune system to recognize cancer cells and kill them. Gene based immunotherapy. Vical, Inc.",,Head & neck cancer;melanoma,,,"Biologic therapy (BRM, immunotherapy)",Gene therapy
Alpha Interferon,,,NO,Rx of Kaposi's sarcoma; may interfere with release of virus from infected cells,,,INF,,"Biologic therapy (BRM, immunotherapy)",
Alpha-APA derivatives,,,YES,Non-nucleoside reverse transcriptase inhibitor,R 18893;R 89439;R-18893;R-89439;R18893;R89439,,,,AIDS drug,
Alpha-TGdR,,,NO,,A-TGDR,,,71851,Chemotherapy,Antimetabolite
Alpharadin,,,NO,Alpharadin is currently in clinical trials for bone metastases from prostate and breast cancer. Radium 223 is a one targeting isoptope which kills cancer cells using alpha radiation. The FDA has recently granted Alpharadin Fast Track designation. Bayer Healthcare plans to submit for approval to regulatory authorities in Europe and the USA mid-year 2012. Code in Other Therapy field until approved.,Radium-223 chloride,Bone metastases,,,Radiation,alpha radiation (radiopharmaceutical)
Alprazolam,,,YES,The efficacy of Alprazolam as an antidepressant requires further evaluation; sedative.,Alprazolam Intensol;Alti-Alprazolam;Apo-Alpraz;Med Alprazolam;Novo-Alprazol;Nu-Alpraz;U 31889;U-31889;U31889;Xanax,,,,Ancillary Agent,
Altretamine,,,NO,Antineoplastic. FDA approved for ovarian cancer use.,ENT 50852;ENT-50852;Hemel;Hexalen;hexamethyl- (8CI);Hexamethylenamine;Hexamethylmelamine;Hexastat;Melamine;NC 195;NCI-C50259,Ovarian cancer,HMM;HTM;HXM,013875;13875,Chemotherapy,Ccytotoxic antineoplastic
AlvacCEA/B7.1,,,NO,Phase II Vaccine. Therion Biologics.,,Colorectal cancer,,715616,"Biologic therapy (BRM, immunotherapy)",Adoptive immunotherapy
Amadinone Acetate,,,NO,Progestin,,Prostate cancer,,,Hormones and hormonal mechanisms,Progestin
Ambomycin,,,NO,Antitumor antibiotic,,,,53397,Chemotherapy,Antitumor antibiotic
